CODE,NAME,AGES_0-14,AGES_15-64,AGES_65P,AGES_W_15-49,AGES_0,AGES_1-4,AGES_5-9,AGES_10-14,AGES_15-19,AGES_20-24,AGES_25-29,AGES_30-34,AGES_35-39,AGES_40-44,AGES_45-49,AGES_50-54,AGES_55-59,AGES_60-64,AGES_65-69,AGES_70-74,AGES_75-79,AGES_80-84,AGES_85P
622922,康乐县,0.2978,0.6054,0.0968,0.2174,0.0157,0.0794,0.1123,0.0904,0.0513,0.05,0.068,0.0734,0.0599,0.0531,0.0727,0.0784,0.0622,0.0362,0.0323,0.0264,0.0202,0.0123,0.0056
622923,永靖县,0.1933,0.6755,0.1312,0.2235,0.0116,0.0626,0.0637,0.0553,0.0413,0.033,0.0706,0.0827,0.0599,0.0643,0.0986,0.1029,0.0742,0.048,0.0482,0.0354,0.0262,0.0147,0.0066
622924,广河县,0.3403,0.5778,0.0819,0.2301,0.0206,0.1016,0.1272,0.0909,0.0589,0.069,0.0746,0.0742,0.0578,0.0557,0.0589,0.0595,0.0453,0.0239,0.0229,0.0224,0.017,0.0122,0.0075
622925,和政县,0.2926,0.6071,0.1003,0.2162,0.0173,0.0842,0.1111,0.08,0.0492,0.0431,0.0756,0.0765,0.0514,0.0519,0.0761,0.0867,0.0648,0.0318,0.0337,0.0276,0.0216,0.012,0.0054
622926,东乡族自治县,0.3547,0.5632,0.0821,0.2222,0.0216,0.1102,0.1308,0.0921,0.0609,0.0677,0.0659,0.0658,0.0605,0.0574,0.0588,0.0578,0.043,0.0254,0.0246,0.0237,0.0176,0.0104,0.0058
622927,积石山保安族东乡族撒拉族自治县,0.2887,0.6113,0.1,0.2191,0.0157,0.0772,0.1097,0.0861,0.0571,0.0591,0.0651,0.0763,0.0565,0.0517,0.0728,0.0806,0.0571,0.035,0.0346,0.0278,0.0207,0.0114,0.0055
623001,合作市,0.1906,0.7432,0.0662,0.2971,0.011,0.052,0.0675,0.0601,0.0949,0.1145,0.0823,0.0897,0.0717,0.0714,0.0738,0.0688,0.0525,0.0236,0.0222,0.0169,0.0126,0.0086,0.0059
623021,临潭县,0.231,0.6569,0.1121,0.2211,0.0125,0.0591,0.083,0.0764,0.043,0.0465,0.0716,0.0726,0.0533,0.0597,0.0969,0.1003,0.0702,0.0428,0.0445,0.0326,0.0205,0.0103,0.0043
623022,卓尼县,0.2266,0.6672,0.1062,0.2303,0.0121,0.052,0.0817,0.0808,0.0499,0.0453,0.0736,0.0839,0.0649,0.071,0.0936,0.0897,0.0633,0.032,0.0388,0.0304,0.0211,0.0104,0.0056
623023,舟曲县,0.2173,0.6644,0.1183,0.237,0.0131,0.0578,0.0747,0.0716,0.052,0.0516,0.078,0.0772,0.0664,0.0567,0.0985,0.0897,0.0638,0.0305,0.0426,0.0331,0.0236,0.0133,0.0058
623024,迭部县,0.2065,0.6879,0.1056,0.2486,0.0107,0.0507,0.0747,0.0704,0.0505,0.0562,0.0782,0.08,0.0775,0.0834,0.0947,0.0846,0.0554,0.0275,0.0335,0.0294,0.023,0.0129,0.0068
