CODE,NAME,GHSL_POP,GHSL_POP_DENS,GHSL_URB,GHSL_POP_30,GHSL_POP_23,GHSL_POP_22,GHSL_POP_21,GHSL_POP_13,GHSL_POP_12,GHSL_POP_11,GHSL_POP_10,GHSL_VAR
230622,肇源县,398936,96.2,0.4307,0.2317,0.0852,0.0462,0.0677,0.296,0.2412,0.0321,0,0.2077
230623,林甸县,267136,76.5,0.276,0.2026,0,0,0.0733,0.3679,0.321,0.0351,0,0.3969
230624,杜尔伯特蒙古族自治县,239439,39.6,0.2684,0,0.1562,0.034,0.0783,0.3864,0.303,0.0421,0,0.2014
230671,大庆高新技术产业开发区,205635,1554.8,0.9758,0.8848,0.0474,0,0.0436,0.0091,0.0133,0.0018,0,-0.1204
230717,伊美区,148127,53.7,0.9394,0.3917,0.4622,0,0.0856,0.0093,0.0378,0.0134,0,-0.1454
230718,乌翠区,66539,27.8,0.7705,0,0.4542,0.0565,0.2598,0.0615,0.1332,0.0348,0,-0.0792
230719,友好区,69715,23.1,0.8835,0,0.7784,0,0.1051,0.0078,0.0775,0.0312,0,0.2838
230722,嘉荫县,65777,9.8,0.3871,0,0.268,0.062,0.0571,0.3296,0.2062,0.0771,0,0.1637
230723,汤旺县,51069,23.5,0.8047,0,0.6467,0,0.158,0.0171,0.116,0.0622,0,0.5361
230724,丰林县,92738,32.4,0.8182,0,0.7245,0,0.0937,0.049,0.0939,0.0388,0,0.4906
230725,大箐山县,97795,27.1,0.8084,0,0.6581,0.0528,0.0975,0.098,0.0737,0.0199,0,0.695
230726,南岔县,108923,36.2,0.8832,0.5613,0.1897,0,0.1323,0.0265,0.0656,0.0246,0,0.314
230751,金林区,86219,36.5,0.7721,0,0.557,0,0.2151,0.1411,0.0622,0.0246,0,0.4259
230781,铁力市,259513,67.5,0.6677,0.3061,0.1418,0.0606,0.1592,0.1953,0.1117,0.0253,0,0.1485
230803,向阳区,184258,3770.8,0.9959,0.9216,0.0571,0,0.0171,0,0.0039,0.0002,0,-0.3754
230804,前进区,242211,9141.1,0.9985,0.9255,0.0719,0,0.0011,0,0.0014,0.0001,0,0.339
230805,东风区,178460,3443.2,0.9954,0.9836,0,0,0.0118,0,0.0033,0.0014,0,0.4712
230811,郊区,353460,199,0.6977,0.276,0.1816,0.0191,0.221,0.1826,0.1064,0.0132,0,0.3321
230822,桦南县,474685,93.5,0.5435,0.159,0.2101,0.0342,0.1402,0.2916,0.1437,0.0212,0,0.6548
230826,桦川县,205675,92.5,0.468,0.304,0.0819,0.0154,0.0667,0.3585,0.1457,0.0278,0,0.4099
230828,汤原县,252851,73.9,0.6037,0,0.4423,0.0473,0.1141,0.1849,0.1767,0.0347,0,0.4558
230881,同江市,235992,37.9,0.464,0.2869,0.0962,0.0182,0.0628,0.2614,0.1671,0.1075,0,0.34
230882,富锦市,566630,68.9,0.5492,0.3962,0.054,0.0178,0.0813,0.2315,0.1609,0.0584,0,0.3684
230883,抚远市,123951,22.9,0.5344,0,0.4553,0.037,0.042,0.095,0.1998,0.1708,0,0.2735
230902,新兴区,526301,349.5,0.9425,0.7338,0.0773,0.0145,0.1169,0.0193,0.0312,0.007,0,2.3222
230903,桃山区,53929,708.8,0.9265,0.8582,0,0,0.0683,0,0.0646,0.0089,0,-0.7358
230904,茄子河区,121221,77.5,0.591,0.3803,0.0478,0.0304,0.1326,0.1846,0.1879,0.0364,0,-0.0492
230921,勃利县,311995,130.7,0.5535,0.236,0.0983,0.0768,0.1424,0.333,0.0955,0.018,0,0.5632
231002,东安区,168160,289.3,0.9473,0.8849,0,0,0.0624,0.0189,0.0268,0.0069,0,-0.2398
231003,阳明区,195358,147.6,0.6833,0.362,0.1496,0,0.1717,0.1883,0.1118,0.0165,0,0.023
231004,爱民区,327108,749.2,0.9648,0.9325,0,0,0.0323,0.0129,0.0194,0.0029,0,0.1876
231005,西安区,283223,752.4,0.9483,0.865,0.0377,0,0.0457,0.0152,0.0303,0.0061,0,0.1684
231025,林口县,365359,55,0.4746,0.1765,0.1168,0.0649,0.1164,0.3432,0.1597,0.0225,0,0.5339
231081,绥芬河市,132231,320,0.9268,0.8655,0,0,0.0613,0.0193,0.0451,0.0088,0,0.1542
231083,海林市,412675,47.4,0.6299,0,0.4152,0.0681,0.1465,0.2053,0.1437,0.0211,0,0.4096
231084,宁安市,435770,60.5,0.5581,0.3448,0.0749,0.0203,0.118,0.2792,0.1386,0.0242,0,0.3528
231085,穆棱市,300488,50.1,0.6337,0.1704,0.2775,0.0453,0.1405,0.1698,0.1693,0.0271,0,0.5248
231086,东宁市,199515,28.1,0.5389,0.2805,0.0822,0.0242,0.1521,0.2369,0.1858,0.0384,0,0.0206
231102,爱辉区,205307,14.8,0.6952,0.6788,0,0,0.0165,0.1203,0.1432,0.0413,0,-0.0828
231123,逊克县,98510,9.2,0.24,0,0.2104,0,0.0296,0.3985,0.2932,0.0683,0,0.1994
231124,孙吴县,104238,21.9,0.3976,0,0.373,0,0.0246,0.2941,0.2727,0.0356,0,0.4204
231181,北安市,428824,59.7,0.5935,0.2656,0.1374,0.0443,0.1462,0.22,0.1673,0.0192,0,0.3912
231182,五大连池市,317647,21.1,0.5138,0,0.2937,0.0762,0.1439,0.263,0.1882,0.035,0,0.3057
231183,嫩江市,491507,32.4,0.4844,0.2941,0.1107,0.0275,0.052,0.2783,0.2084,0.0289,0,0.3825
231202,北林区,916144,332.7,0.7096,0.3157,0.1481,0.0417,0.204,0.1751,0.1039,0.0114,0,0.3125
231221,望奎县,462996,199.9,0.477,0.1944,0.0269,0.0507,0.205,0.332,0.1733,0.0176,0,0.6141
231222,兰西县,430588,173.3,0.4071,0.1658,0,0.0286,0.2127,0.3193,0.2547,0.0189,0,0.3949
231223,青冈县,476831,178.1,0.427,0.1397,0.0479,0.0226,0.2168,0.3121,0.2457,0.0153,0,0.6582
231224,庆安县,366355,67,0.3806,0.2651,0,0.0174,0.0981,0.3272,0.2629,0.0293,0,0.4059
231225,明水县,323083,140.8,0.4128,0.2348,0.0341,0.0396,0.1043,0.3638,0.2055,0.0178,0,0.6295
231226,绥棱县,332365,77.1,0.6343,0.3365,0.0554,0.071,0.1713,0.1989,0.148,0.0187,0,0.5684
231281,安达市,568014,157,0.6402,0.5357,0.0126,0,0.0919,0.1703,0.1712,0.0183,0,0.5887
231282,肇东市,1119005,258.6,0.6423,0.3655,0.0635,0.0297,0.1836,0.2194,0.1262,0.0121,0,0.6788
